type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-10 19:00,203.19,Xuong,,,,,,,,108.230063,13.637508,226.270081,200.0,113.13504,97.64,198.87,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-11 19:00,202.93,Xuong,,,,,,,,108.230063,13.637508,217.689758,200.0,108.844879,94.81,180.75,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-12 07:00,202.79,Xuong,,,,,,,,108.230063,13.637508,213.069778,200.0,106.534889,79.83,171.79,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-13 19:00,202.61,Xuong,,,,,,,,108.230063,13.637508,207.13002,200.0,103.56501,54.66,79.49,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-14 19:00,202.54,BinhThuong,,,,,,,,108.230063,13.637508,204.819778,200.0,102.409889,41.8,11.62,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-15 19:00,202.65,Len,,,,,,,,108.230063,13.637508,208.4498,200.0,104.2249,93.9,11.79,205.15,209.92,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-10 23:55,213.856,BinhThuong,,,,,,,,108.78018371035716,13.297809787494792,49.69289,48.64,102.164658,9.25,5.83,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-11 23:55,213.608,Xuong,,,,,,,,108.78018371035716,13.297809787494792,48.7678452,48.64,100.26284,8.83,34.58,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-12 23:55,213.071,Xuong,,,,,,,,108.78018371035716,13.297809787494792,46.7648277,48.64,96.14,9.56,14.09,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-13 23:55,212.989,Xuong,,,,,,,,108.78018371035716,13.297809787494792,46.4608345,48.64,95.52,6.56,3.22,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-14 23:55,213.015,Xuong,,,,,,,,108.78018371035716,13.297809787494792,46.5559464,48.64,95.72,6.81,0.0,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-15 23:55,213.045,BinhThuong,,,,,,,,108.78018371035716,13.297809787494792,46.6678429,48.64,95.95,6.02,4.2,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-16 01:25,213.033,BinhThuong,,,,,,,,108.78018371035716,13.297809787494792,46.6231079,48.64,95.85,6.03,4.51,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-16 02:05,213.039,BinhThuong,,,,,,,,108.78018371035716,13.297809787494792,46.6454773,48.64,95.9,6.29,4.19,215.0,215.9,1.0,64.0,1.0
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-16 03:15,213.041,Len,,,,,,,,108.78018371035715,13.297809787494792,46.65293,48.64,95.91,6.61,3.87,215.0,215.9,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-10 17:00,511.62,Len,,,,,,,,108.4958743195198,14.282291761568924,260.741516,313.7,83.12,,150.0,515.0,,1.0,64.0,1.0
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-11 17:00,511.94,Len,,,,,,,,108.4958743195198,14.282291761568924,265.759216,313.7,84.72,,150.0,515.0,,1.0,64.0,1.0
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-12 13:00,512.14,Len,,,,,,,,108.4958743195198,14.282291761568924,268.895416,313.7,85.72,,150.0,515.0,,1.0,64.0,1.0
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-13 13:00,512.41,Len,,,,,,,,108.4958743195198,14.282291761568924,273.128357,313.7,87.07,,150.0,515.0,,1.0,64.0,1.0
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-14 17:00,512.59,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,275.9516,313.7,87.97,,150.0,515.0,,1.0,64.0,1.0
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-15 17:00,512.66,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,277.04837,313.7,88.32,,150.0,515.0,,1.0,64.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-10 20:00,104.85,Xuong,,,,,,,,108.89860571809233,13.023980033712723,342.675934,349.7,97.99,,500.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-11 21:00,104.8,Xuong,,,,,,,,108.89860571809233,13.023980033712723,340.338135,349.7,97.32,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-12 23:00,104.8,BinhThuong,,,,,,,,108.89860571809233,13.023980033712723,340.338135,349.7,97.32,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-13 20:00,104.79,BinhThuong,,,,,,,,108.89860571809233,13.023980033712723,339.870453,349.7,97.19,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-14 23:00,104.34,Xuong,,,,,,,,108.89860571809233,13.023980033712723,318.828217,349.7,91.17,,300.0,105.0,105.96,1.0,54.0,1.0
